Season,Year,region,nombre_medaille,nombre_competion,taux_victoire
Winter,2002,USA,26,78,33.333333333333336
Winter,1998,USA,11,68,16.176470588235293
Winter,1994,USA,12,59,20.338983050847457
Winter,2010,USA,29,84,34.523809523809526
Winter,1992,USA,10,56,17.857142857142858
Winter,2006,USA,21,83,25.301204819277107
Winter,2014,USA,23,94,24.468085106382979
