ratio,Year,pays
1.0,2016,Brazil
0.94444444444444442,2012,Brazil
0.83333333333333337,2008,Brazil
0.77777777777777779,1996,Brazil
0.61111111111111116,2000,Brazil
0.55555555555555558,2004,Brazil
0.16666666666666666,1992,Brazil
