Year,coeff,total
2008,37.4,100
2012,31.700000000000003,88
2004,23.900000000000002,63
2016,23.599999999999998,70
2000,21.6,58
1992,17.6,53
1996,17.0,50
2010,3.9000000000000004,11
2006,3.2,11
2014,3.1,9
2002,2.4000000000000004,8
1996,0.5,1
