Year,coeff,total
2016,23.799999999999997,67
2012,23.400000000000002,65
2008,16.6,48
2000,9.9,28
2004,9.6,30
1992,5.8000000000000007,20
1996,4.1,15
2014,1.2000000000000002,4
2002,0.7,2
2010,0.5,1
