medaille_argent,Year,Season,NOC
9,1992,Summer,AUS
9,1996,Summer,AUS
25,2000,Summer,AUS
16,2004,Summer,AUS
15,2008,Summer,AUS
16,2012,Summer,AUS
11,2016,Summer,AUS
