medaille_argent,Year,Season,NOC
7,1992,Summer,AUS
9,1996,Summer,AUS
16,2000,Summer,AUS
17,2004,Summer,AUS
14,2008,Summer,AUS
7,2012,Summer,AUS
8,2016,Summer,AUS
